codigo_producto_sin;descripcion_producto;codigo_actividad;descripcion_actividad
1001903;herramientas de mano tales como alicates, destornilladores.;4752100;Venta al por menor de artículos de ferretería, fontanería y calefacción
1001904;herramientas de mano de uso agrícola no motorizadas.;4752100;Venta al por menor de artículos de ferretería, fontanería y calefacción
1001905;sierras y hojas para sierras, incluidas sierras circulares y de cadena.;4752100;Venta al por menor de artículos de ferretería, fontanería y calefacción
1001906;accesorios intercambiables para herramientas de mano motorizadas o no y para máquinas herramientas: brocas, punzones y fresas.;4752100;Venta al por menor de artículos de ferretería, fontanería y calefacción
1001907;estampas y troqueles de prensa.;4752100;Venta al por menor de artículos de ferretería, fontanería y calefacción
1001908;herramientas de herrería: machos de forja, yunques.;4752100;Venta al por menor de artículos de ferretería, fontanería y calefacción
1001909;moldes y cajas de moldeo (excepto lingoteras).;4752100;Venta al por menor de artículos de ferretería, fontanería y calefacción
1001910;tornos de banco, abrazaderas.;4752100;Venta al por menor de artículos de ferretería, fontanería y calefacción
1001911;candados, cerraduras, pasadores, llaves, bisagras y artículos similares.;4752100;Venta al por menor de artículos de ferretería, fontanería y calefacción
1001912;accesorios de ferretería para edificios, muebles, vehículos, etcétera.;4752100;Venta al por menor de artículos de ferretería, fontanería y calefacción
1001913;machetes, espadas y bayonetas.;4752100;Venta al por menor de artículos de ferretería, fontanería y calefacción
1001914;cuchillas y cizallas para máquinas y para aparatos mecánicos.;4752100;Venta al por menor de artículos de ferretería, fontanería y calefacción
1003449;Herramientas Eléctricas;4752100;Venta al por menor de artículos de ferretería, fontanería y calefacción
1003450;Accesorios para Herramientas;4752100;Venta al por menor de artículos de ferretería, fontanería y calefacción
1003451;Artículos para Fijación (Tornillos, tuercas, arandelas);4752100;Venta al por menor de artículos de ferretería, fontanería y calefacción
1003452;Artículos de Seguridad (Cascos, guantes, gafas de protección);4752100;Venta al por menor de artículos de ferretería, fontanería y calefacción
1003453;Tuberías y Accesorios;4752100;Venta al por menor de artículos de ferretería, fontanería y calefacción
1003454;Accesorios de Conexión (Grifos, llaves de paso, etc);4752100;Venta al por menor de artículos de ferretería, fontanería y calefacción
1003455;Sistemas de Drenaje y Desagüe;4752100;Venta al por menor de artículos de ferretería, fontanería y calefacción
1003456;Equipos de Fontanería;4752100;Venta al por menor de artículos de ferretería, fontanería y calefacción
1003457;Radiadores;4752100;Venta al por menor de artículos de ferretería, fontanería y calefacción
1003458;Sistemas de Calefacción;4752100;Venta al por menor de artículos de ferretería, fontanería y calefacción
1003459;Accesorios de Calefacción;4752100;Venta al por menor de artículos de ferretería, fontanería y calefacción
1003460;Aire Acondicionado y Ventiladores;4752100;Venta al por menor de artículos de ferretería, fontanería y calefacción
1001384;Pinturas y barnices;4752200;Venta al por menor de pinturas, barnices y lacas
1001385;Secativos;4752200;Venta al por menor de pinturas, barnices y lacas
1001386;Lacas;4752200;Venta al por menor de pinturas, barnices y lacas
1001387;Pigmentos preparados;4752200;Venta al por menor de pinturas, barnices y lacas
1001388;Colores vitrificables;4752200;Venta al por menor de pinturas, barnices y lacas
1001389;Brilladores;4752200;Venta al por menor de pinturas, barnices y lacas
1001390;Pinturas aditivas;4752200;Venta al por menor de pinturas, barnices y lacas
1001391;Colores para cerámica;4752200;Venta al por menor de pinturas, barnices y lacas
1001392;Removedores de barniz;4752200;Venta al por menor de pinturas, barnices y lacas
1001393;Removedores de pinturas;4752200;Venta al por menor de pinturas, barnices y lacas
1001394;Removedores de tintes;4752200;Venta al por menor de pinturas, barnices y lacas
1001395;Desmanchadores;4752200;Venta al por menor de pinturas, barnices y lacas
1001396;Masillas;4752200;Venta al por menor de pinturas, barnices y lacas
1001397;Pintura al óleo;4752200;Venta al por menor de pinturas, barnices y lacas
1001398;Témperas;4752200;Venta al por menor de pinturas, barnices y lacas
1001399;Acuarelas;4752200;Venta al por menor de pinturas, barnices y lacas
1001400;Tinta de impresión;4752200;Venta al por menor de pinturas, barnices y lacas
1001401;Tintas para escribir o dibujar y otras tintas;4752200;Venta al por menor de pinturas, barnices y lacas
1001402;compuestos para calafatear y preparados similares no refractarios para relleno y enlucido.;4752200;Venta al por menor de pinturas, barnices y lacas
1001403;disolventes y diluyentes orgánicos compuestos.;4752200;Venta al por menor de pinturas, barnices y lacas
1001404;decapantes para pintura y barniz preparados.;4752200;Venta al por menor de pinturas, barnices y lacas
1003461;Imprimantes y Selladores;4752200;Venta al por menor de pinturas, barnices y lacas
1003462;Adhesivos;4752200;Venta al por menor de pinturas, barnices y lacas
1003463;Aceites y Ceras;4752200;Venta al por menor de pinturas, barnices y lacas
1003464;Rodillos de Pintura;4752200;Venta al por menor de pinturas, barnices y lacas
1003465;Cinta de Pintor;4752200;Venta al por menor de pinturas, barnices y lacas
1003466;Cubetas, Bandejas y Otros Accesorios;4752200;Venta al por menor de pinturas, barnices y lacas
1003467;Protección para Superficies;4752200;Venta al por menor de pinturas, barnices y lacas
1003468;Productos para Reparación de Paredes y Superficies;4752200;Venta al por menor de pinturas, barnices y lacas
1001658;"Vidrio en masa, en esferas (excepto microesferas), varillas o tubos, sin elaborar; desperdicios y desechos de vidrio";4752300;Venta al por menor de vidrio plano, espejos y sus productos
1001659;Vidrio fundido, laminado, estirado o soplado sin elaborar, en planchas;4752300;Venta al por menor de vidrio plano, espejos y sus productos
1001660;Vidrio templado y vidrio pulido o pulimentado, en planchas;4752300;Venta al por menor de vidrio plano, espejos y sus productos
1001661;Vidrio en planchas, curvado, labrado en los bordes, tallado, taladrado, esmaltado o trabajado de otra forma, pero sin marco, etc.;4752300;Venta al por menor de vidrio plano, espejos y sus productos
1001662;Vidrio de seguridad;4752300;Venta al por menor de vidrio plano, espejos y sus productos
1001663;"Espejos de vidrio; unidades de vidrio aislantes de paredes múltiples";4752300;Venta al por menor de vidrio plano, espejos y sus productos
1001664;"Losas, ladrillos, azulejos y otros artículos de vidrio prensado o moldeado, del tipo utilizado para la construcción, vidrieras emplomadas y similares; vidrio multicelular o vidrio espuma en bloques, tablas o formas similares";4752300;Venta al por menor de vidrio plano, espejos y sus productos
1001665;Cintas, mechas, hilados y hebras cortadas, de vidrio;4752300;Venta al por menor de vidrio plano, espejos y sus productos
1001666;Fibra de vidrio;4752300;Venta al por menor de vidrio plano, espejos y sus productos
1001697;Gasas, mallas, felpudos, colchones, planchas y otros artículos de fibra de vidrio, excepto tejidos;4752300;Venta al por menor de vidrio plano, espejos y sus productos
1003469;"Botellas, jarros, redomas y otros recipientes de vidrio, del tipo utilizado para el transporte o envasado de mercancías, excepto ampolletas; tapones, tapas y demás dispositivos de cierre, de vidrio";4752300;Venta al por menor de vidrio plano, espejos y sus productos
1003470;Ampollas de vidrio, abiertas, y sus partes de vidrio, para lámparas eléctricas, tubos de rayos catódicos o similares;4752300;Venta al por menor de vidrio plano, espejos y sus productos
1003471;Artículos de vidrio del tipo utilizado para servicios de mesa, cocina, tocador, oficina, decoración de interiores o usos similares (excepto botellas, jarros y artículos similares de vidrio y ornamentos de vidrio trabajado al soplete);4752300;Venta al por menor de vidrio plano, espejos y sus productos
1003472;"Cristales para relojes y vidrios similares; cristales para gafas, sin labrado óptico; esferas de vidrio huecas y segmentos de esferas para la fabricación de dichos cristales";4752300;Venta al por menor de vidrio plano, espejos y sus productos
1003473;"Artículos de vidrio para laboratorio, higiene y farmacia; ampollas de vidrio";4752300;Venta al por menor de vidrio plano, espejos y sus productos
1003474;Partes de lámparas n.c.p., accesorios para alumbrado, señales iluminadas, rótulos iluminados y artículos similares, de vidrio;4752300;Venta al por menor de vidrio plano, espejos y sus productos
1003475;Aislantes eléctricos de vidrio;4752300;Venta al por menor de vidrio plano, espejos y sus productos
1003476;"vidrios planos y de seguridad, espejos; artículos de vidrio utilizados en la construcción, como bloques de vidrio.";4752300;Venta al por menor de vidrio plano, espejos y sus productos
1003477;La colocación de los vidrios o espejos cuando lo realiza el mismo vendedor.;4752300;Venta al por menor de vidrio plano, espejos y sus productos
1003635;Es común que la venta de los vidrios incluya su instalación.;4752300;Venta al por menor de vidrio plano, espejos y sus productos
1003362;Piedra de construcción o para tallado;4752400;Venta al por menor de ladrillo, madera, cemento y otros materiales de construcción
1003363;Pizarra;4752400;Venta al por menor de ladrillo, madera, cemento y otros materiales de construcción
1003364;Mármol y otras piedras calizas para tallado o construcción;4752400;Venta al por menor de ladrillo, madera, cemento y otros materiales de construcción
1003365;Granito, arenisca y otras piedras para tallado o construcción;4752400;Venta al por menor de ladrillo, madera, cemento y otros materiales de construcción
1003366;fundente calizo;4752400;Venta al por menor de ladrillo, madera, cemento y otros materiales de construcción
1003367;otras piedras calcáreas del tipo habitualmente utilizado para la fabricación de cal o cemento;4752400;Venta al por menor de ladrillo, madera, cemento y otros materiales de construcción
1003368;Yeso;4752400;Venta al por menor de ladrillo, madera, cemento y otros materiales de construcción
1003369;Anhidrita;4752400;Venta al por menor de ladrillo, madera, cemento y otros materiales de construcción
1003370;Roca o piedra caliza en bruto (para cal o cemento);4752400;Venta al por menor de ladrillo, madera, cemento y otros materiales de construcción
1003371;Caliza triturada o molida (para cal o cemento);4752400;Venta al por menor de ladrillo, madera, cemento y otros materiales de construcción
